datetime;uc01;uc02;uc03;uc04
03.01.2019 20:00:00;4603,373990549;3798,453186414;2972,105729528;3063,272678368
03.01.2019 21:00:00;4180,638410056;3481,435180941;3163,438224035;2979,627018465
03.01.2019 22:00:00;3881,255084486;3258,859505560;2916,198281136;3020,615937665
03.01.2019 23:00:00;3728,522757828;3195,229667490;2548,200436308;2741,482275860
04.01.2019 0:00:00;3367,657898322;2936,854074252;2653,436896058;2479,360446222
04.01.2019 1:00:00;2979,955699379;2644,414299041;2525,632931907;2305,033785112
04.01.2019 2:00:00;2583,748602009;2390,482583531;2392,316136391;2140,596220839
04.01.2019 3:00:00;2261,620139249;2176,386939883;2266,291302672;2137,596559513
04.01.2019 4:00:00;2221,819956150;2151,194004154;2113,994971958;2161,393314586
04.01.2019 5:00:00;2324,515993081;2222,675498324;2076,418270655;2222,638729078
04.01.2019 6:00:00;2414,902752540;2268,648208582;2114,285131846;2254,884803315
04.01.2019 7:00:00;2477,928057389;2345,153077368;2182,8043382;2317,692759567
04.01.2019 8:00:00;2569,315330841;2406,204849929;2151,465671254;2436,345566392
04.01.2019 9:00:00;2752,750200143;2512,222856275;2189,137717789;2595,122003548
04.01.2019 10:00:00;2983,093256052;2670,364177110;2303,432731510;2664,143372281
04.01.2019 11:00:00;3224,247967722;2869,365634067;2383,852075901;2747,929832673
04.01.2019 12:00:00;3401,794003274;2981,707458670;2393,800580223;2910,645640083
04.01.2019 13:00:00;3620,651168563;3090,876284246;2441,346123712;3001,064104795
04.01.2019 14:00:00;3743,330625507;3219,978160427;2611,416420649;3179,407962765
04.01.2019 15:00:00;4272,002596011;3603,326214015;2485,440877113;3649,449913289
04.01.2019 16:00:00;4847,975535865;3941,025748190;2704,051685367;3822,345497341
04.01.2019 17:00:00;4957,128447330;4098,269769821;2987,518730206;3714,385982840
04.01.2019 18:00:00;4998,350266685;4034,406266937;3240,651711904;3367,419922432
04.01.2019 19:00:00;4485,425217380;3712,194420637;3121,790580468;3096,978868511
04.01.2019 20:00:00;4204,478536365;3470,596538187;2822,157908643;3053,506971440
04.01.2019 21:00:00;3990,823279533;3376,490872656;2829,360192935;2906,978098191
04.01.2019 22:00:00;3769,147610134;3209,791873848;2830,804396051;3037,784975741
04.01.2019 23:00:00;3684,841773115;3183,707896668;2708,734283419;2810,422239272
05.01.2019 0:00:00;3493,193798564;3020,750659318;2906,938584268;2784,974056361
05.01.2019 1:00:00;3380,205318507;2955,207341367;2592,765731043;2513,528676072
